name_project,project_desc,category_project
tutor PUBG,I got banned for not doing anything illegal what bull is this account reset after like 3 months of playing and got up to like level 100 with different cars not even modding and just got banned.Negggativee,gg
tutor Clash Royale,"I first bought this game and went to a random server with a few of my friendslittle did i know that server had one crazy korean man on it set on killing everyone of course my friends soon wanted to leavejust then a magical being swooped in from the heavens saying ""DON'T LEAVE!!"" My friends lefti stayed i built a home across the field from this magical being he tried to help me break down my own door he gave me woodhe was god 10/10 would play again",mobile legend
joki Clash Royale,PUBG... It s awesome.. It sucks.. It makes me happy... It makes me sad... PUBG gives me everything a good game needs.It s intense.. and this is why I love it!,"cecan, suhu, pro player"
tutor Resident Evil,Product received for free. killed by a naked asian with a pebble 10/10,"gg, waifu"
tutor FF,cheaters,"cecan, cewek, cogan"
joki COD,The Best Game....Lit,"sepuh, susah, cewek"
tutor ML,Rage quitters and vaulters ruined the game. Uninstalled.,"cewek, mobile legend, suhu"
cari Cyberpunk,Very Good game,"cogan, susah, suhu"
cari Roblox,This is the one game I keep coming back to.Guess you can call this game my dirty pleasure.,"mobile legend, suhu"
tutor Bang Bang,"Update 5/13/17Optimization has gotten a lot better. Haven't noticed any frame skipping anymore or rubberbanding. In general things have gotten a lot smoother.Still not a huge fan of the circle speed/timings...but I think I can live with it since everything else in the game has become a lot more playable. Also Devs have added cool things like custom matches. Started playing this game more in Duos than Solo and having a lot more fun that way. So I've changed my recommendation from a No to a Yes.Pre 5/13/17Can't recommend this game in its current state. Optimization is insanely bad frame skipping with a top of the line rig... combine that with rubberbanding servers and you sometimes have games where it's near impossible to hit anybody consistently. Audio cues in general are pretty bad as well. The circle timings seem really poorly thought out. So many games I've played running simulator for the entire game. You don't have time to engage in any fights in between phases or you risk dying very quickly in the ""gas"".I know optimization updates and other changes are in the pipeline... so I can revise my recommendation if those prove to improve quality of life across the board. The Battle Royale genre has such potential... but I think PUBG misses the mark just like H1Z1. Looking forward to what Islands of Nyne can bring to the table. This genre really needs a AAA developer polish. If only Valve or Blizzard would pick it up.","suhu, pro player"
joki GTA,This game is absolutely fantastic.,sepuh
cari FF,"This game is worth the effort of learning if you have a general grasp on aiming and situational awareness If you do not possess both of these you will find the game challenging and your quality of play will greatly diminish as the zone ""constantly F**k's you"". Pay attention. Alt look. know that some actions have conciquences. please play smarter not harder!","free fire, cecan"
joki Clash Royale,This is good in general but rockstar is I got banned for nothing i lost around 50 000 000 and when i could play again i got around 4 000 000 and nothing els i needed to creat a new careackter and i thing rockstar should do something about the banning system.,"gg, valorant, pro player"
tutor Cyberpunk,Dont buy this Take two interactive is screwing it over with the online gameplay and anti modding policys.,gg
cari Genshin Impact,Dont buy this trash game.,wibu
cari Clash Royale,Fighting monsters feels fantastic. Hopefully they continue to add new beasts in the future,"cewek, cogan"
cari PUBG,It feels kinda unfair to thumbs down since my problem is not the game itself and I'm having a lot of fun but unless the optimization gets better and I can hunt with others and not disconnect 3 minutes after joining a hunt I really can't thumbs it up.,"free fire, gg, cewek"
joki Roblox,The bullet holes all stay the shells on the ground stay and the magazines you dropped after murdering someone for their stuff is just amazing. Great game. Should update the 7.62 rounds to go through the house walls. Great start to an early release game. R.I.P KING OF THE HILL H1Z1 LOL,"suhu, gg"
joki ML,"As with every GTA title to date It's been made to impress and does exactly that. The single player campaign is flawless and deserves an expansion since the characters were too funny and that'll be that. Beutiful graphics too 10/10 there no doubt about it and i'm not even running full spec settings!!! still looks amazing.But with all good things it must unfortunately come to an end.....If you are buying this game for it's online features I wouldn't recommend it to anyone despite all it's posh new stuff.There are multiple reasons for it too For starters the community is very much toxic and it's favourite word is ""noob"".....big suprise....people also like to trash you're vehicle repeatedly kill you for no apparent reason and then ofcourse there's the modders which is fair enough game has mods both SP and MP ones but the hackers/modders have found a way to spawn money ontop of you which sounds as pleasant as can be......then you'll get banned.....120% true stuff.But why so many hackers/modders? i'll tell you why too.It's because alike what happens with every ""Pay for just about everything"" franchise........it already has a cancer rotting and festering within' it...........They call this cancer.....SHARK CARDS!!!! A legal way for already rich millionaire dev's to fleece you for everything you got cause you like to drive cars that look cool and be one of life's ""big boys""......The hardline reality being that not everyone has this limited cache of real life money much alike everything is stupidly high priced to buy ordinarily on this game now. Even by grinding missions you're talking months to get and upgrade 1 vehicle because they made those a wreck too reducing actual rewards and then ramping up prices in game items.......So based on the fact that a lot of people don't have that endless time or money available what other choice do they have apart from to hack? ofcourse...........you guessed it!!!! &lt it's SHARK CARDS... 70 $150 of real life money (more than some average in a week pay).........for 8 million gta cash.........ummmmmm no.........that doesn't sound right.......cause paying that much and recieving that much might upgrade you a single car or 2 at the absolute maximum not taking into consideration all the other fabulous new features that are always just out of reach unless you can whip up plenty and lots of ker ching!!!!!So nope............pants nada..........not recommended.R* have messed this game up completely by over pricing everything it's just not worth it...","cogan, mobile legend, cecan"
cari Genshin Impact,Worth it,"cecan, cewek"
tutor NINTENDO,Endless fun especially with friends,valorant
cari Bang Bang,Nice Game for premade!!!,"sepuh, cecan, valorant"
cari Genshin Impact,On behalf of the OpenIV team you.,"gg, free fire, pro player"
cari COD,in this game if you kill more than 10 players you will be banned.well done bluehole.,"wibu, free fire, suhu"
joki Destiny,"My girlfriend mad at me because this game i literally ignored her all the time for this game. then i apologize and promise to give her more attention... tomorrow she mad to me again then she asked me to choose betwen GTAV or her. I said...Me ""Honey do you really want to me answer the question?""Her ""So? Me or that crap?""i slapped the out of her...Me ""NEVER TALK LIKE THAT TO MY FAVOURITE GAME !""","pro player, free fire, valorant"
tutor Minecraft,I have heard a lot about this game. I really want to play it but it will not load me into ANY servers. I am about ready to give up on it. All I want to do is play it and I can't even load into it to try it. Any advise from anyone???,"cewek, wibu, pro player"
tutor Clash Royale,Single Player masterfully crafted world to mess around in. Not a fan of being an a hole to everyone you meet but a man s gotta hustle to make his green.Multiplayer No thank you.,wibu
cari Cyberpunk,It's a good game. But I have to admit that the community is one of the most toxic communities ever! &lt /3,"wibu, free fire"
cari Roblox,Awesome,"mobile legend, cewek"
tutor Minecraft,Great little game A friend got it for me as a gift I am now hooked on it This is the only game that I can say When you get killed and looted Its well worth it Thanks for the Free XP Lads! This game has some pesky idiots about but you can just go and destroy all their hard work So all in all it's Good.9/10 Will be killed againUpdate The game is toxic as ever but is still worth getting I would strongly suggest playing with friends and not solo the devs continue to update the game and add new features it just never gets old.The game systems have changed around but now the XP system has been replaced its still great.,"susah, cogan"
joki Clash Royale,Fun game,"waifu, cewek"
tutor FF,Rockstar is anti modding there is nothing more to say. Why the would you be this anti modding? They are banning people for using a FOV fix since the FOV is locked to max 75 which is unplayed. And they are banning people for using Mods in Single Player. move Rockstar.,"jodoh, cewek"
tutor Resident Evil,goat,waifu
joki Minecraft,vam mater jer su vam serveri gori nego da ti se tetka posere na picu punu smrdljivih dlakavih govana jer ste skrti i ne zelite jebeno kupiti bolje servere,"susah, valorant, sepuh"
cari Genshin Impact,I got a guitar and a f*cking gringo killed me to steal it from meB*TCH IF IT'S BECAUSE I'M HISPANIC THEN COME AND 1VS1 ME IRL AND I WON'T NEED A ROCK JUST FISTS,cewek
cari Clash Royale,Game is fun in general. Software needs a lot more optimisation. People that owns better computer have a lot more advantage since they can render everything quickly. Sometimes the game is buggy but it is a lot better than before. If you play in your own region latency is decent. I used to open crates but... since the introduction of keys crates became useless and are only to be sold on the market... The game is not pay to win but actually require skills.I personaly think the business model can be changed. Giving a thumb down because there is no average button. The game can still be improve by a huge margin.,"wibu, pro player"
cari GTA,10/10 for no reason,"suhu, waifu, pro player"
joki Clash Royale,Sweet baby jesus this game is legit. ya i agree,"jodoh, sepuh, wibu"
joki Minecraft,Product received for free. gamenya jelek,"waifu, valorant, suhu"
joki Resident Evil,VeRrY FuN GaMe,"gg, waifu, wibu"
tutor GTA,Love the game play it to much.,"cogan, jodoh, susah"
cari Bang Bang,Love it one of my favorite games of all time!,"waifu, cogan"
tutor Genshin Impact,Toxic but fun.,"mobile legend, sepuh"
cari GTA,"""Just one more game...""Easy to learnEnjoy playing for 5 minutes or 5 hoursEthical microtransactionsGreat to play with friendsFun at all skill levelsRuns great on older PCsI find myself going back to this game every night. It's very addicting and worth trying.","pro player, cewek"
tutor Cyberpunk,This is the WORST Ganker MMO ever created. You start nude with a rock and run into heavy armed players who kill you for the hell of it and getting revenge on them is the only motivation to play this P.O.S.This is worse than E.V.E. online and that s saying something. Buy Savage Lands instead is much better.,"free fire, sepuh, mobile legend"
tutor Resident Evil,Great game! Worth the money!,sepuh
cari PUBG,FIX. YOUR. GAME.,"mobile legend, waifu"
joki Clash Royale,Good game,mobile legend
joki DOTA,Awesome game worth buying,cewek
cari DOTA,"10/10 All my friends now know that ""F"" Honks the horn.","pro player, gg"
tutor Clash Royale,Worth the wait.,"valorant, cogan, cewek"
tutor GTA,Pros JustOneMoreGameCons Sex? No thanks babe I'd rather play Rocket League!,"sepuh, cecan, cewek"
tutor FF,it just unfair you work your off to find stone you find it then you die cause thirst or hunger its and also players are dont buy this game i got it last night at 11 pm it sucks bad,cogan
tutor PUBG,whats a R0cket Lague? 10/10,"pro player, cewek"
joki Minecraft,i swear everyone who kills me is a hacker10/10,"waifu, mobile legend, wibu"
joki DOTA,its thicc,"pro player, susah, suhu"
tutor Cyberpunk,"This game makes me ""reee"" very loud so that I wake up my neighbors. Pros Good graphics.Good gameplay.Good amount of toxicity.Cons I got evicted from my house from screaming too loud and cops came twice aswell as the swat team. (my neighbors thought i was murdering people irl)","susah, pro player"
joki Minecraft,a awesome game i love the series i recommend this game to anyone who loves hunting and crafting games.,"pro player, susah"
tutor VALORANT,More u play more u enjoy. Many characters special unique perks great sountrack coop enjoyable gameplay,valorant
joki Clash Royale,Ditto.,valorant
joki Genshin Impact,Hell of more fun than H1 you can clearly see it got some functions from Arma 3 and from H1 aswell. I recommend you to pick it up instanly if you like a heartpumping game.,gg
cari Roblox,Fix the crass bugs of the last update,"cogan, wibu"
joki COD,epic,"susah, free fire, suhu"
tutor FF,gr8/8 with friends,"cewek, mobile legend"
cari VALORANT,Great game. Still in Early Access stages but they are releasing updates mostly weekly with major updates monthly.,suhu
tutor Clash Royale,Don't buy this game It's great don't get me wrong.I can only sum this up in one way when you run from a nade and are about to kill the mofo that threw it at you and the game crashes for noooooooooooooo ing reason you know you should stay away till they fix there,waifu
tutor FF,Not worth $20 but it is fun.Edit If you are going to increase the price of the game by 175% (35$) PLEASE ADD SINGLE PLAYER OR NEW FEATURES.,"cecan, cogan"
joki Bang Bang,I have 900+ hours (edit 1 600 + Hours) on the game and I haven't gotten bored of it. This game updates pretty frequently and you 100% WILL GET MAD at some point and if you can't handle set backs then this game isn't for you. You will die and lose all of your stuff and you will get raided and you need to have the mind set of not if im gonna get raided its when your gonna get raided (edit I don't find myself getting raided that much anymore). If your new start on a low population server or play on a server with no one (edit It would help with the beginning or you could just go straight to high pop servers). Always upgrade your foundations first or they WILL get shot or burned by a flame thrower.,"cewek, susah, sepuh"
tutor GTA,game so much potential but devs are legit garbage,"valorant, pro player, cogan"
joki Roblox,Hey that's pretty good,"pro player, cecan"
tutor Destiny,Product received for free. Long loading Toxic community Laggy servers Not fun by yourself,"waifu, mobile legend, free fire"
joki Roblox,Most of my hours are logging into the game /Still logging in...,"valorant, wibu, cogan"
cari Minecraft,I have fun playing it.....,wibu
tutor PUBG,After 650+ Hours of gameplay im addicted usually games last to about 600hrs for me and i quit cause i get bored or something of that nature. I keep coming back to play more no matter what i do. New map's and new guns to new weapon mechanics im there baby! PUBG tho has been a rollercoaster of emotions and good updates and bad ones alike. So take it with a grain of salt when i say this is a great game because to each their own.,"waifu, cewek, jodoh"
tutor ML,Good Game,"suhu, susah, valorant"
cari Destiny,RIP OpenIV &lt /3,"mobile legend, waifu, jodoh"
joki PUBG,Really love it amazing world great single and multiplayer and of course the mods that can be downloaded on this game absolutely amazing.,"waifu, sepuh, free fire"
cari Clash Royale,Doesnt work,mobile legend
cari VALORANT,Pay us money!,susah
cari Genshin Impact,After changing my review and waiting for GTA to load I like GTA 5.I usually play online but the game is still okay. Enough said Probably around 8/10 or 7. Too much of a grind and all.,"free fire, mobile legend"
joki GTA,Ok it's officially unplayable I've been killed by people who were clearly hacking 5 games in a row. Also the circle is annoying and cancerous,"gg, cogan"
cari DOTA,You can kill Prostitutes,"sepuh, susah, mobile legend"
joki Destiny,i have ben baned for big donation i donated 1800 usd in gta online and week after i have ben baned rockstar unban me pls #rocstarunban,pro player
cari Minecraft,Take Two decided to cease and desist the OpenIV team essentially killing mods for single player for no good reason. This is something we should and will not stand for. If the single player is going to be left to die with no DLC while the Online continues to be filled with hackers and then you decide to kill the one thing making the single player more fun I see no reason why I should play your game anymore.,"wibu, cogan"
tutor VALORANT,With having been a HUGE fan of h1z1. I can honestly 100% say that this game blows it out of the water.I was nervous that I would get bored with this game quick after investing so much time in a game of the same exact style. But once I felt the shooting mechanics I immedietly realized what H1 was always missing... A GREAT DEVELOPER. Maybe one the best I have ever experienced with a game. Everything they say they will do... They do... Its not just releasing half of what they say for one big update every half a year and then have the game offline for 2 days. Daybreak ruined a great thing and they only have themselves to blame... They were money hungry with the paid content. When all they had to do was just deliver on fixing there game. This game has made the developers millions of dollars and will make millions more. H1Z1 is now dead in the water. With a scramble to start being a good developer its to little to late. Battle grounds is here.... And its here to stay. Jump in. Jump out of a plane. And get to looting folks! STOP READING AND JUST BUY IT!(as far as this being an early access title) It wont be for long. Maybe half year tops. Because that is what the developer said. And that is what the developer will do. Yes there is a hacker problem (apprently) I don't know if I have expereinced any in my 200 hours of game play. But GUESS WHAT. The developer will do everything they possibly can and they will fix it. They promised optomization first. And every update is a HUGE improvement. So when they decide to tackle the hackers.. IT WILL BE UPDATE AFTER UPDATE fixing the problem as well. Sorry H1.. you are done SON!,"waifu, mobile legend"
cari DOTA,OC servers work well and i am now enjoying the game as it runs well and there is minimal lag on my own servers )*editpubg is now slowly dying brendan greene is using oc players to bump up asian numbers there has to be atleast 90 players on? this game is practically unplayable now asian servers ping ranges from bad to horrible 180 275*editSolo And duo are specifically hosted to asian servers THIS GAME*editF.UCK PUBG,"jodoh, gg, cewek"
joki NINTENDO,"Product received for free. well where do i start XDThe game is great after i spent a couple of hours playing i only won 1 game after try harding but i think most guns are even non are OP it just depends how you use the gun.Not much toxic people only when your waiting in the lobby (you either hear people shouting ""China number 1) or some racist dude.This game is better than fortnite as you dont have to build walls or build a little house to camp in.The game makes you think on what to do its not really just run in and kill its pretty tectical.you dont need to win games to have fun getting to the top 5 is always fun and you can learn from your mistakes.Not much more to say but i recommend buying this but not for 26.99 wait for sale or buy of CD.Keys.Enjoy",jodoh
joki FF,I was told on the game manu to tell them they are bad at their job so here i am.,"cogan, susah, suhu"
tutor ML,found a fort.joined a clan.died.respawned and built a fort.went to and air drop.killed a guy.guys friend killed me.respawned and killed him.lived happily ever after.,"pro player, free fire"
cari Bang Bang,Great game the microtransactions are completely cosmetic. No reason to whine about them being monetized. It can be frustrating getting killed seemingly out of nowhere but you'll be doping the same yourself. It's all worth it for the chicken dinner.,wibu
joki Cyberpunk,"I sure do hope Take Two don't ban the ""Not Recommeded Review"" mod.","waifu, sepuh"
cari Clash Royale,es gid,"cecan, pro player, suhu"
joki Bang Bang,you kidding me? this game is the only battle royal game worth anything.,"pro player, mobile legend"
cari GTA,no.,"free fire, mobile legend"
joki Roblox,Total dog Graphics and gameplay are amazing when the game works which is mazbe 5% of the time.It fails to lauch almost every time and crashes during gameplay most times i'v play it.I have a dual graphic MSI GT70 laptop running 4th gen i7 and a GT870 graphics card which is more than ample for this game but the game code is broken even after patches and every fix i can find!I WANT MY MONEY BACK STEAM!,"waifu, cecan"
tutor Genshin Impact,Awesome game if you can get this during a sale don't even hesitate!,"sepuh, free fire"
joki Destiny,The servers had antihacks and they were to strick so i would get kicked from going down a hill to fast or becuase of lag. It always did it so i was VACbanned for playing the game when it was buggy in alpha. I payed for this game for 2 people and it was over $40 and i got vacbanned becuase the game was buggy.,"cewek, free fire"
cari Genshin Impact,hide and seek simulator 2018,"waifu, suhu"
tutor COD,Rockstar/Take Two... get your together. I bought this game FOR modding... as I did GTAIV. I've never spent money on your damn shark cards or any other microtransaction and 99.99% of my GTAV activity is offline MODDING.,"susah, cogan, valorant"
joki Bang Bang,Good game,"waifu, pro player"
cari Cyberpunk,"This game is amazing for relaxing and having a good laugh after being beaten to death by a guy named ""A fountain of "".","pro player, cecan, mobile legend"
joki Minecraft,Product received for free. I LIKE THIS GAME A LOT!!!!!!,"waifu, sepuh, suhu"
joki VALORANT,Awesome gameplay except some bugs(because it's early access) great game to play with friends,valorant
tutor Genshin Impact,Still has quite a lot of bugs to be fixed but had a really good improvement in the past months. Good job! I'm also really happy they implemented a new system so you can check the host's ping.,"wibu, free fire, gg"
tutor GTA,This game sucks big time fk this,"suhu, wibu"
cari Bang Bang,its gta5. and u can mod it.,"susah, mobile legend, wibu"
tutor Minecraft,kinda ok and with cheese,"gg, mobile legend"
cari DOTA,hhhhhh,"wibu, free fire, waifu"
tutor Roblox,very fun. i like smashing monster heads with oversized weapons,"pro player, waifu, valorant"
tutor ML,Good,"free fire, waifu"
joki DOTA,Great Game10/10 Just don't waste your money on shark cards,"cewek, susah"
cari GTA,Product received for free. A must get for anyone really nice community and a fun experience,"sepuh, gg"
joki Roblox,Great game!Fast furious &amp easy to get into with lots of options to customize your cars with.It's a fun game that all friends can get into and have a few laughs with without having to pour hours of your time into it.If you like car games and or football you NEED to get this game.,"susah, mobile legend"
joki GTA,damn this game is great and has some serious potentail to be one of the best of all time for survival games,"mobile legend, valorant, cogan"
cari Cyberpunk,Very fun &amp addicting! Highly recommend for those who like Battle Royale.,"mobile legend, sepuh"
cari Resident Evil,Great game very fun to play especially with teammates. Recommended.,"wibu, mobile legend"
joki Clash Royale,Gud game mate,"cewek, jodoh, valorant"
cari COD,Nice,"valorant, cewek, wibu"
joki Resident Evil,Product received for free. Parachuted in.As soon as my feet hit the ground some naked dude ran up and punched me 1 time in the head instant killing me. 10/10 would never play unreasonably melee balanced game again.,"suhu, waifu, susah"
tutor PUBG,If you played The Culling before the cancer patch you will probably like this game. It's basically the same besides a lot more people and the combat is largely focussed around guns. So it will be pretty hard for the developers to make the combat system slower **cough**culling**. A large amount of the complaints for this game are focused around micro transactions. Something to note is that all of the items you can buy on the steam market are cosmetics that in no way alter your gameplay. On top of that if you are like me couldn't care less about running around in a yellow suit. You can just sell everything on the steam market. I've made like 7 dollars by selling garbage to kids with their moms credit card but if you get really lucky some items are worth hundreds. So there is that on top of the game being super fun(mainly with friends). Only con I can think of is it seems to mainly drive off your cpu. So if you have a great gpu and a ehh cpu like me you are probably going to be playing on low medium.,free fire
tutor Resident Evil,Really Fun Game And u should play with friends its better and more fun ) ! When u make tactic To Score points !,"suhu, valorant"
joki DOTA,Product received for free. like a hooker that seems appealing at first glance but when you really take a nice hard look you realize she's a bug infested sloppy mess that you wouldn't even use if she payed you100% e sports ready bunghole really outdid themselves with this one,"sepuh, wibu"
joki Bang Bang,can't connect to online... ever. hacker spawned me cars and gave me money. 4 hours deep in this game but i love it. weird a triple A company put out this but whatever.,cewek
cari Resident Evil,"Multiplayer has the worst matchmaking I've ever experienced when trying to play with friends. The load times make it much worse when you have to try over and over and over to get into a mission with a friend. A simple ""join with friends"" wouldnt be that hard to add into this game. If you're planning to play with friends I don't recommend this game.","waifu, sepuh"
tutor PUBG,bad servers lots of lag even getting disconnected because of time out while having no internet problems what so ever,"cogan, suhu"
tutor COD,"""Hey you know what I haven't played rocket league in a couple of days yeh let's go play it! And... try hard try hard everywhere oh they called me a and gay cause I'm bad...ok time to play counter strike global offensive. 4/7","cecan, gg"
tutor VALORANT,aww man i love this game so much!!!1 i think u shoukd buy this game. BUT ONLY IF U HAVE A GOOD PC! Love this! kEEp up the good work PUBG!!,cewek
tutor Bang Bang,I have re installed 5 times and triedv various online suggestions the game fails to launch. Terrible experience so far.,"valorant, mobile legend"
joki COD,fun game for playing with friends,"wibu, jodoh, sepuh"
cari Cyberpunk,Rush B always,"suhu, susah"
tutor NINTENDO,Epic Gamer was here,"cewek, pro player, cecan"
joki GTA,D,"jodoh, gg, sepuh"
cari Genshin Impact,This is an amazing game for an amazing price.,cecan
tutor ML,great game,"susah, mobile legend"
joki Cyberpunk,"I understand that this game is still early access and will have bugs but the bugs that can change the outcome of a game need to be fixed immediatley and I will not reccomend this game until so. Not to mention the unjust bans of players apparently ""Stream Sniping"" for just killing a streamer with absolutely no proof except for the word of the streamer. Until these issues are resolved I will not reccomend this game.List of some game changing bugs Silent cars Invisible walls fliping cars Textures not loading making it impossible to loot or just get into houses in general Bullet proof water Crouch Jumping through windows that other wise are impossible to jump through",mobile legend
tutor Genshin Impact,its ok,"sepuh, free fire"
cari Bang Bang,Great game really whizzy,"cecan, gg, cewek"
cari Bang Bang,Safe to say... BROKE but i still love this game for some reason,gg
tutor PUBG,Rust Life baby.The game is fun as hell just don't cry and rage quit when people kill or raid you. That's Rust. Learn from it. I don't recommend learning how to play on a high pop public server. You can go play those when you want to throw yourself into the meatgrinder. The game is updated literally every week. Always new stuff.,suhu
tutor NINTENDO,Amazing,"cewek, cogan"
tutor VALORANT,Good if you have friends to play with otherwise I wouldn't really recommend it. Though it has been a while since I played with friends so things probably have changed.,wibu
joki Minecraft,Rust literally just crashed and blue screened my computer. i know what game i wont be playing for a while,"cewek, cecan, suhu"
cari Destiny,Pick this game up NOW! It is one of the most addicting games I have played in years. So simple yet being good is really hard. I heartily recommend this game!,"mobile legend, susah, jodoh"
joki FF,Best. Game. Ever. PERIOD&gt shjit that wasssn't a period?,"jodoh, pro player"
tutor NINTENDO,server is not stable sometime,pro player
joki Cyberpunk,Great game but online is Can barely even get onto it got onto it once and after that no matter how long I wait or what I do it doesn't load. Plus the time I did manage to get online an kept spawn killinig me basically forcing me to quit. So if you're going to get this game only get the story mode,"gg, valorant, cogan"
tutor Clash Royale,thanks for screwing us R* and T2 bring us back modding,"cogan, pro player, jodoh"
joki COD,OK This games great however be prepared to spend 26 hours trying to get a specific item because sometimes it happens. Also the hitboxes are a little janked up. The story's also pretty mediocre. BUT BUT BUT the game is still fun the combats fun and when has a monster hunter game ever had a good story? its just fun Idk what to say.,"free fire, jodoh"
joki Resident Evil,Product received for free. the best co op game !,"cewek, waifu"
cari VALORANT,its lags HEAPS /,wibu
cari Destiny,Love this game. I bought it when I gave up on DayZ Standalone. I run 2 modded Rust servers. Raiding is exciting meeting people is always cool. Weekly updates and new items added all the time. Love the building aspect of the game. Good work. That was my review about a year ago. I've stopped playing Rust after they started adding all these AI and tanks mini games work benches and componets. Game has lost itself. My favorite time in Rust was during the BP system and the only AI was the attack heli. You don't feel alone anymore there is AI scientist everywhere when trying to loot the attack heli the CH47 event a tank patroling a Rad town. I just don't find it fun anymore. I've shut down both my servers. Been playing Arma 2 DayZ again. Yeet,free fire
cari NINTENDO,I have paid this game to receive a with a lot of bugs and errors,wibu
cari DOTA,For me as a PC and Switch player who can't get his hands on God of War and RDR2 this is the best Game 2018. It started with a clueless but hyped beginning and boy did it deliver. The monsters the weapons the music they alone make this game a masterpiece in which you can invest hundreds of hours and still want to keep on hunting.There where a few issues at the beginning of the release on PC but now it works perfectly fine and we should be grateful to got such a great port for this game.It brought me to the monster hunter franchise and made it one of my favorites right behind Dark Souls.So try it play it master it if you like big weapons epic fights and always want to get better this is your game!,"free fire, sepuh, valorant"
tutor COD,You know a game is good when it's the last thing you think about at night and the first thing you want to do in the morning.Rocket League made me forget to masturbate.,"jodoh, cewek, susah"
cari Bang Bang,not BaD,"susah, suhu"
cari Destiny,It's decent,waifu
tutor Minecraft,Lots of hackers recently mostly aim bot and increased speed. Don't buy this game until hey crack down on them.,sepuh
joki Bang Bang,Nice game!,susah
joki GTA,Monster hunter is finally released to a new generation thats not a title on the handhelds? Seems like I've been waiting since the original to get back into Monster Hunter proper. So glad Monster Hunter World is that game. Reminds me of all the good times i use to have and I'm having a blast.The game had a more than rocky launch but it's a lot better now. Still those first few weeks hurt the game a lot i'm sure. Definitely recommend for anyone just looking now to get into it. It's been fixed quite a bit and is an awesome game!,"sepuh, cewek"
tutor FF,Incredible for EA. No game makes your heart race like this one.,free fire
joki NINTENDO,fix server ples capacom,sepuh
tutor Clash Royale,Hey it's pretty good,jodoh
tutor Genshin Impact,ing awful community everyone just thinks its pvp no communication involved what so ever my opinion dont waste your money coz it takes you like 4 hours to realise how toxic everyone really is then its too late for a refund,"cogan, waifu, susah"
joki Genshin Impact,ok game,"jodoh, cogan"
cari COD,it is 100% a game,"waifu, gg"
joki Clash Royale,Fun to play with friends.,"cogan, sepuh, cewek"
joki Resident Evil,Easy to learn Hard to master. Personal performance game where you have nobody to blame but yourself if you screw up. Gets the adrenaline going like you are watching your favourite sport AND actually taking part in the match. Don't play if you are about to go to sleep. &lt 3 Rocket League 4eVa xxoo,"gg, pro player"
joki PUBG,Rocket League is life.,"free fire, waifu, sepuh"
joki Resident Evil,Buggy game...the game have lots of bugs and need some optimization in graphics....,"cewek, valorant"
joki Genshin Impact,Amazing game! Great with friends and is so much fun..,"cewek, sepuh"
cari Destiny,good game cool cars and u can play with friends,suhu
joki Genshin Impact,Great game but uses DENUVO. So thumbs down.,susah
joki DOTA,THIS GAME SUCKS,cogan
cari COD,game of the year,"cecan, valorant, sepuh"
cari Minecraft,I have this game for short time and from beginning it was legendary. I know it has many bugs but for me the bugs makes a game better,"mobile legend, valorant"
cari Bang Bang,dank af,"wibu, suhu, cecan"
cari COD,bad game,waifu
tutor DOTA,Tencent!!!,"gg, wibu, waifu"
tutor Roblox,game the devs,"waifu, jodoh"
tutor COD,its fun and will be better when it come full game ),"cogan, wibu, susah"
cari FF,"Pros Good graphics Realistic Incredibly fun to play with friendsCons Bugs and glitches Bad optimization Hackers Terrible serversIt is supposedly ""fully released"" but it still has all the problems of an early access game. It seems that they only fully released it to make it more attractive for buyers",wibu
cari Cyberpunk,Veryc nice,cecan
cari GTA,Absolutely worth every penny of the $29.99 pricetag. I have a GTX 1070 and it runs well over 60 FPS at max settings with very few frame drops. I am very pleased with this purchase.,"jodoh, susah, waifu"
joki Genshin Impact,Time to quit DOTA2great game now my life has a purpose again.will buy all DLC to support this game,"susah, cewek"
cari Genshin Impact,Impossible to find games. There is the error that you need to login in Steam but I am already logged in Steam.,"pro player, susah"
joki GTA,Product received for free. At first I was confused by the weird concept of a game based around cars playing football and didn't really enjoy it but after a while i got the hang of it and the game felt really smooth and nice. At the start of the game i sadly didn't get a tutorial so i had to figure it out myself wich in a way was extreamly fun ! D I can only recomment this game it's got an amasing feel to it has great music and is generally amasing !,suhu
tutor GTA,game is good,"wibu, sepuh"
tutor DOTA,bad matchmaking.if you're unranked you play against pros only.good developement.,"cogan, suhu"
cari VALORANT,10/10 would get floored by a shotgun again,cecan
tutor Minecraft,Great game made by some amazing developers with loads of free content constantly being released. A game I will never get tired of and I will constantly play for years to come.,gg
cari GTA,This game is still great without a controller 10/10 Better than FIFA,"gg, wibu"
cari ML,Best game ever !! &lt 3,suhu
cari Destiny,Needs more mods. the only good thing to come from T2 is that they shut down the most infamous cheating menu. But then you wonder why did it take this long? That menu required a $260 year long subscription has this not ever bothered them before? I also agree that the DLC updates have always been overpriced. More than likely T2 forcing rockstar to nickel and dime the players.,"cogan, cewek, pro player"
tutor VALORANT,I rate it 8/8 m8. okay gr8 game m8.,"valorant, waifu"
cari Genshin Impact,meh,"cecan, gg, jodoh"
tutor Cyberpunk,They just got rid of mods they can go get ed.,"cewek, cecan, free fire"
tutor Clash Royale,bazelgeuse.....Seriously though nerf his encounter rate......rest is great and all the minor flaws can be explain that it is a new generation monster hunter game that can't just straight up reuse old asset.,sepuh
