ID,Skill,Genre,Experience,Difficulty Rating
1315,Intermediate,Adventure,5 years,Easy
1316,Beginner,FPS,6 months,Moderate
1317,Beginner,Simulation,1 year,Easy
1318,Beginner,Sports,1.5 years,Challenging
1319,Advanced,Adventure,2 years,Challenging
1320,Beginner,Simulation,1 year,Easy
1321,Beginner,Sports,1 year,Difficult
1322,Advanced,FPS,2.5 years,Challenging
1323,Beginner,Racing,1 year,Easy
1324,Intermediate,Racing,1 year,Easy
1325,Intermediate,Puzzle,5 years,Challenging
1326,Advanced,Puzzle,1.5 years,Difficult
1327,Advanced,FPS,1 year,Easy
1328,Advanced,Strategy,1.5 years,Easy
1329,Intermediate,Platformer,1 year,Easy
1330,Advanced,FPS,4 years,Easy
1331,Advanced,Racing,5 years,Moderate
1332,Beginner,Adventure,3 years,Difficult
1333,Intermediate,FPS,2.5 years,Easy
1334,Intermediate,Simulation,6 months,Easy
1335,Intermediate,FPS,1.5 years,Difficult
1336,Intermediate,Puzzle,5 years,Difficult
1337,Beginner,Simulation,2 years,Challenging
1338,Beginner,Sports,1 year,Difficult
1339,Intermediate,Strategy,2.5 years,Challenging
1340,Intermediate,Sports,3 years,Moderate
1341,Beginner,Adventure,4 years,Difficult
1342,Advanced,Simulation,5 years,Moderate
1343,Advanced,Racing,5 years,Easy
1344,Advanced,Adventure,1 year,Moderate
1345,Advanced,Strategy,1.5 years,Challenging
1346,Advanced,Strategy,1.5 years,Moderate
1347,Beginner,Simulation,4 years,Moderate
1348,Beginner,Racing,1.5 years,Easy
1349,Beginner,Adventure,3 years,Challenging
1350,Intermediate,Simulation,5 years,Difficult
1351,Intermediate,Racing,3 years,Moderate
1352,Intermediate,RPG,2.5 years,Moderate
1353,Beginner,RPG,2.5 years,Moderate
1354,Advanced,Platformer,5 years,Easy
1355,Beginner,FPS,6 months,Moderate
1356,Advanced,Sports,3 years,Challenging
1357,Beginner,Simulation,4 years,Easy
1358,Advanced,Platformer,2 years,Easy
1359,Advanced,RPG,2 years,Easy
1360,Intermediate,Adventure,2 years,Moderate
1361,Intermediate,Adventure,4 years,Easy
1362,Beginner,Puzzle,2.5 years,Easy
1363,Intermediate,Simulation,2 years,Difficult
1364,Intermediate,Simulation,2.5 years,Easy
1365,Advanced,Platformer,2.5 years,Challenging
1366,Advanced,Racing,5 years,Difficult
1367,Beginner,Platformer,2.5 years,Difficult
1368,Intermediate,FPS,1 year,Difficult
1369,Advanced,Simulation,3 years,Easy
1370,Intermediate,Strategy,3 years,Difficult
1371,Advanced,Simulation,1.5 years,Challenging
1372,Advanced,Adventure,3 years,Difficult
1373,Advanced,Strategy,1.5 years,Difficult
1374,Beginner,Strategy,1 year,Challenging
1375,Intermediate,Adventure,1.5 years,Challenging
1376,Advanced,Simulation,2 years,Challenging
1377,Beginner,Adventure,3 years,Easy
1378,Beginner,RPG,1.5 years,Difficult
1379,Intermediate,Puzzle,5 years,Moderate
1380,Beginner,Racing,6 months,Difficult
1381,Advanced,RPG,6 months,Challenging
1382,Intermediate,Strategy,2 years,Moderate
1383,Advanced,Adventure,3 years,Easy
1384,Beginner,Strategy,5 years,Challenging
1385,Advanced,Racing,2.5 years,Moderate
1386,Beginner,Racing,3 years,Moderate
1387,Beginner,Puzzle,5 years,Difficult
1388,Advanced,Simulation,2 years,Difficult
1389,Beginner,Strategy,2.5 years,Difficult
1390,Beginner,Strategy,6 months,Easy
1391,Intermediate,RPG,6 months,Easy
1392,Intermediate,RPG,1 year,Challenging
1393,Beginner,Simulation,2.5 years,Challenging
1394,Advanced,Strategy,4 years,Moderate
1395,Beginner,Simulation,4 years,Easy
1396,Intermediate,Adventure,5 years,Challenging
1397,Advanced,FPS,1.5 years,Difficult
1398,Advanced,Platformer,2.5 years,Difficult
1399,Beginner,Simulation,5 years,Moderate
1400,Beginner,Platformer,1 year,Difficult
1401,Intermediate,FPS,5 years,Difficult
1402,Beginner,FPS,3 years,Moderate
1403,Advanced,Adventure,1 year,Difficult
1404,Advanced,Simulation,2 years,Easy
1405,Intermediate,Racing,3 years,Easy
1406,Advanced,Sports,4 years,Moderate
1407,Intermediate,Simulation,2 years,Easy
1408,Advanced,Sports,1.5 years,Moderate
1409,Intermediate,Puzzle,3 years,Difficult
1410,Intermediate,Simulation,1.5 years,Moderate
1411,Beginner,Adventure,1 year,Easy
1412,Beginner,Simulation,1.5 years,Challenging
1413,Intermediate,Strategy,5 years,Challenging
1414,Intermediate,Simulation,4 years,Difficult
1415,Advanced,Simulation,6 months,Challenging
1416,Intermediate,RPG,2 years,Moderate
1417,Advanced,FPS,5 years,Challenging
1418,Advanced,FPS,6 months,Moderate
1419,Intermediate,Adventure,4 years,Easy
1420,Advanced,Racing,4 years,Difficult
1421,Beginner,Simulation,4 years,Easy
1422,Advanced,Puzzle,3 years,Difficult
1423,Intermediate,RPG,3 years,Difficult
1424,Beginner,Adventure,1.5 years,Moderate
1425,Beginner,Platformer,2.5 years,Difficult
1426,Beginner,Platformer,2.5 years,Easy
1427,Advanced,RPG,1.5 years,Moderate
1428,Intermediate,FPS,2 years,Moderate
1429,Intermediate,Strategy,2 years,Moderate
1430,Beginner,Sports,4 years,Easy
1431,Intermediate,RPG,4 years,Challenging
1432,Beginner,FPS,6 months,Difficult
1433,Advanced,RPG,2 years,Moderate
1434,Advanced,Strategy,5 years,Challenging
1435,Beginner,FPS,4 years,Easy
1436,Beginner,Sports,6 months,Easy
1437,Beginner,FPS,1 year,Challenging
1438,Beginner,Sports,2 years,Easy
1439,Beginner,Platformer,3 years,Challenging
1440,Intermediate,Sports,5 years,Easy
1441,Intermediate,RPG,2 years,Easy
1442,Beginner,RPG,1.5 years,Challenging
1443,Advanced,FPS,2 years,Easy
1444,Beginner,Sports,2 years,Easy
1445,Beginner,Sports,3 years,Challenging
1446,Intermediate,Platformer,4 years,Easy
1447,Intermediate,Sports,3 years,Easy
1448,Intermediate,Simulation,3 years,Moderate
1449,Beginner,Platformer,2.5 years,Easy
1450,Intermediate,FPS,1 year,Easy
1451,Intermediate,FPS,6 months,Moderate
1452,Intermediate,Platformer,3 years,Easy
1453,Beginner,Adventure,3 years,Challenging
1454,Advanced,RPG,2 years,Challenging
1455,Intermediate,FPS,2.5 years,Moderate
1456,Advanced,Sports,6 months,Difficult
1457,Beginner,Simulation,2 years,Difficult
1458,Advanced,FPS,2.5 years,Moderate
1459,Intermediate,Platformer,4 years,Challenging
1460,Advanced,Simulation,2.5 years,Moderate
1461,Intermediate,Simulation,6 months,Moderate
1462,Advanced,Platformer,2.5 years,Easy
1463,Beginner,Racing,3 years,Challenging
1464,Beginner,Racing,1 year,Difficult
1465,Advanced,RPG,2.5 years,Challenging
1466,Advanced,Strategy,2 years,Easy
1467,Intermediate,Platformer,5 years,Easy
1468,Advanced,Sports,1.5 years,Easy
1469,Intermediate,Adventure,6 months,Difficult
1470,Beginner,Adventure,2 years,Moderate
1471,Advanced,Racing,6 months,Challenging
1472,Advanced,Sports,5 years,Moderate
1473,Intermediate,Racing,1 year,Easy
1474,Intermediate,FPS,1.5 years,Difficult
1475,Beginner,Puzzle,1.5 years,Difficult
1476,Advanced,Racing,1 year,Difficult
1477,Intermediate,RPG,6 months,Difficult
1478,Beginner,Platformer,6 months,Easy
1479,Intermediate,Adventure,3 years,Moderate
1480,Beginner,Simulation,4 years,Challenging
1481,Intermediate,Racing,1 year,Challenging
1482,Intermediate,FPS,1 year,Moderate
1483,Beginner,Sports,3 years,Difficult
1484,Beginner,FPS,1.5 years,Moderate
1485,Intermediate,Simulation,3 years,Moderate
1486,Beginner,Sports,2.5 years,Moderate
1487,Beginner,Simulation,4 years,Moderate
1488,Intermediate,Racing,2 years,Difficult
1489,Intermediate,Sports,2.5 years,Moderate
1490,Beginner,FPS,1.5 years,Easy
1491,Intermediate,Platformer,4 years,Challenging
1492,Intermediate,Sports,6 months,Moderate
1493,Intermediate,Adventure,4 years,Easy
1494,Advanced,Sports,4 years,Moderate
1495,Intermediate,FPS,3 years,Challenging
1496,Advanced,Puzzle,2.5 years,Challenging
1497,Intermediate,Strategy,2.5 years,Easy
1498,Advanced,Adventure,4 years,Challenging
1499,Advanced,Racing,5 years,Easy
1500,Advanced,FPS,6 months,Easy
1501,Beginner,RPG,3 years,Challenging
1502,Beginner,Strategy,1 year,Moderate
1503,Intermediate,Platformer,2.5 years,Challenging
1504,Intermediate,Racing,5 years,Easy
1505,Advanced,Sports,1 year,Easy
1506,Beginner,FPS,3 years,Challenging
1507,Beginner,Strategy,4 years,Moderate
1508,Beginner,RPG,5 years,Moderate
1509,Advanced,Racing,2 years,Difficult
1510,Intermediate,Simulation,2.5 years,Difficult
1511,Advanced,Adventure,2 years,Difficult
1512,Advanced,Simulation,2 years,Challenging
1513,Intermediate,Platformer,3 years,Moderate
1514,Intermediate,Racing,1 year,Moderate
1515,Intermediate,Platformer,6 months,Easy
1516,Beginner,RPG,2 years,Easy
1517,Advanced,Sports,1.5 years,Challenging
1518,Intermediate,Strategy,2 years,Difficult
1519,Advanced,RPG,3 years,Moderate
1520,Advanced,Racing,2 years,Easy
1521,Advanced,Racing,2.5 years,Easy
1522,Beginner,Strategy,6 months,Difficult
1523,Advanced,Platformer,6 months,Easy
1524,Advanced,FPS,2 years,Easy
1525,Beginner,Puzzle,6 months,Challenging
1526,Beginner,Platformer,1 year,Easy
1527,Beginner,RPG,1.5 years,Easy
1528,Intermediate,Puzzle,1.5 years,Challenging
1529,Beginner,Strategy,1 year,Difficult
1530,Advanced,Strategy,2.5 years,Moderate
1531,Intermediate,Puzzle,4 years,Difficult
1532,Beginner,FPS,2 years,Easy
1533,Intermediate,Strategy,1 year,Easy
1534,Intermediate,Simulation,5 years,Easy
1535,Beginner,Simulation,4 years,Challenging
1536,Advanced,RPG,1.5 years,Challenging
1537,Advanced,FPS,2.5 years,Easy
1538,Intermediate,Puzzle,1 year,Challenging
1539,Beginner,Adventure,4 years,Challenging
1540,Intermediate,RPG,4 years,Difficult
1541,Beginner,FPS,2 years,Moderate
1542,Advanced,FPS,6 months,Difficult
1543,Intermediate,Racing,2.5 years,Difficult
1544,Intermediate,Platformer,3 years,Difficult
1545,Intermediate,Sports,2 years,Difficult
1546,Advanced,Puzzle,4 years,Moderate
1547,Intermediate,Platformer,6 months,Easy
1548,Advanced,Platformer,2 years,Easy
1549,Advanced,Simulation,2.5 years,Moderate
1550,Beginner,Simulation,1.5 years,Challenging
1551,Advanced,RPG,2 years,Challenging
1552,Advanced,Puzzle,6 months,Challenging
1553,Intermediate,Racing,3 years,Easy
1554,Beginner,Sports,2 years,Challenging
1555,Intermediate,Sports,2.5 years,Moderate
1556,Advanced,Racing,6 months,Moderate
1557,Advanced,Platformer,1.5 years,Easy
1558,Intermediate,Strategy,3 years,Challenging
1559,Intermediate,Strategy,6 months,Challenging
1560,Advanced,FPS,1 year,Moderate
1561,Beginner,Sports,2 years,Difficult
1562,Beginner,Platformer,1 year,Difficult
1563,Intermediate,Puzzle,6 months,Easy
1564,Advanced,Simulation,5 years,Easy
1565,Intermediate,Adventure,3 years,Difficult
1566,Intermediate,Strategy,4 years,Challenging
1567,Beginner,Racing,6 months,Challenging
1568,Beginner,Sports,2 years,Challenging
1569,Advanced,Puzzle,3 years,Difficult
1570,Intermediate,Sports,3 years,Moderate
1571,Advanced,Adventure,5 years,Difficult
1572,Intermediate,Adventure,1.5 years,Challenging
1573,Advanced,Platformer,1 year,Difficult
1574,Intermediate,Sports,3 years,Difficult
1575,Intermediate,Adventure,4 years,Difficult
1576,Beginner,Simulation,1 year,Challenging
1577,Advanced,Adventure,6 months,Challenging
1578,Advanced,Puzzle,3 years,Difficult
1579,Beginner,Platformer,1 year,Difficult
1580,Intermediate,Racing,3 years,Difficult
1581,Beginner,Simulation,3 years,Moderate
1582,Intermediate,Sports,2 years,Moderate
1583,Beginner,RPG,2 years,Challenging
1584,Advanced,Puzzle,4 years,Difficult
1585,Beginner,Platformer,2.5 years,Challenging
1586,Advanced,Adventure,4 years,Difficult
1587,Intermediate,Strategy,3 years,Difficult
1588,Beginner,Puzzle,5 years,Moderate
1589,Intermediate,Puzzle,6 months,Difficult
1590,Beginner,Strategy,6 months,Challenging
1591,Intermediate,FPS,2 years,Moderate
1592,Beginner,RPG,1 year,Difficult
1593,Intermediate,Platformer,2.5 years,Difficult
1594,Intermediate,Simulation,2 years,Challenging
1595,Intermediate,Puzzle,2 years,Easy
1596,Intermediate,RPG,5 years,Moderate
1597,Beginner,Sports,4 years,Challenging
1598,Intermediate,Simulation,1.5 years,Difficult
1599,Intermediate,Racing,6 months,Moderate
1600,Advanced,Platformer,1 year,Easy
1601,Beginner,Strategy,1 year,Difficult
1602,Advanced,Racing,5 years,Challenging
1603,Beginner,RPG,2.5 years,Difficult
1604,Intermediate,Puzzle,1 year,Difficult
1605,Intermediate,Adventure,1.5 years,Challenging
1606,Beginner,RPG,2.5 years,Difficult
1607,Beginner,Simulation,5 years,Difficult
1608,Intermediate,Platformer,4 years,Easy
1609,Advanced,Simulation,6 months,Difficult
1610,Advanced,Racing,1.5 years,Easy
1611,Intermediate,Sports,4 years,Easy
1612,Intermediate,Puzzle,2.5 years,Challenging
1613,Advanced,RPG,2.5 years,Easy
1614,Beginner,Puzzle,1.5 years,Moderate
1615,Advanced,FPS,4 years,Difficult
1616,Intermediate,Racing,3 years,Challenging
1617,Advanced,Strategy,1 year,Easy
1618,Advanced,Racing,1 year,Difficult
1619,Beginner,FPS,4 years,Difficult
1620,Beginner,Sports,3 years,Difficult
1621,Intermediate,FPS,3 years,Easy
1622,Intermediate,Strategy,5 years,Challenging
1623,Intermediate,Platformer,3 years,Challenging
1624,Intermediate,Strategy,3 years,Moderate
1625,Intermediate,Strategy,5 years,Moderate
1626,Beginner,FPS,1 year,Easy
1627,Intermediate,RPG,2 years,Moderate
1628,Beginner,Adventure,5 years,Difficult
1629,Advanced,Sports,1.5 years,Easy
1630,Beginner,Adventure,2.5 years,Moderate
1631,Beginner,Puzzle,2 years,Moderate
1632,Beginner,Strategy,6 months,Challenging
1633,Intermediate,Sports,4 years,Easy
1634,Intermediate,Sports,2 years,Difficult
1635,Advanced,Strategy,1 year,Difficult
1636,Intermediate,Platformer,1.5 years,Easy
1637,Intermediate,RPG,4 years,Challenging
1638,Intermediate,FPS,1 year,Difficult
1639,Advanced,Strategy,1.5 years,Difficult
1640,Intermediate,Adventure,6 months,Difficult
1641,Beginner,RPG,4 years,Difficult
1642,Beginner,Sports,6 months,Moderate
1643,Advanced,Platformer,4 years,Difficult
1644,Intermediate,FPS,4 years,Moderate
1645,Beginner,Strategy,3 years,Difficult
1646,Intermediate,RPG,4 years,Challenging
1647,Intermediate,Platformer,5 years,Moderate
1648,Intermediate,Simulation,2.5 years,Moderate
1649,Advanced,Strategy,1 year,Challenging
1650,Beginner,Strategy,2 years,Challenging
1651,Advanced,FPS,4 years,Difficult
1652,Advanced,Simulation,2.5 years,Moderate
1653,Intermediate,Adventure,5 years,Challenging
1654,Intermediate,Adventure,5 years,Easy
1655,Advanced,FPS,2 years,Easy
1656,Advanced,Platformer,3 years,Easy
1657,Intermediate,RPG,2.5 years,Challenging
1658,Intermediate,Puzzle,6 months,Easy
1659,Advanced,Platformer,5 years,Challenging
1660,Advanced,Sports,3 years,Challenging
1661,Intermediate,Puzzle,2 years,Moderate
1662,Beginner,Strategy,3 years,Difficult
1663,Intermediate,Simulation,5 years,Challenging
1664,Beginner,Sports,4 years,Moderate
1665,Advanced,Strategy,3 years,Moderate
1666,Advanced,FPS,2.5 years,Moderate
1667,Intermediate,Simulation,2 years,Challenging
1668,Advanced,Strategy,5 years,Moderate
1669,Beginner,RPG,5 years,Difficult
1670,Intermediate,Strategy,1 year,Easy
1671,Beginner,Puzzle,4 years,Challenging
1672,Intermediate,Sports,2 years,Easy
1673,Beginner,Puzzle,2 years,Easy
1674,Intermediate,Racing,1 year,Difficult
1675,Advanced,FPS,5 years,Moderate
1676,Intermediate,Platformer,2.5 years,Moderate
1677,Intermediate,Puzzle,4 years,Challenging
1678,Intermediate,Strategy,1 year,Moderate
1679,Advanced,Sports,5 years,Challenging
1680,Advanced,FPS,2 years,Challenging
1681,Beginner,Racing,6 months,Challenging
1682,Beginner,Adventure,5 years,Moderate
1683,Intermediate,FPS,1 year,Easy
1684,Beginner,Platformer,3 years,Moderate
1685,Intermediate,RPG,3 years,Challenging
1686,Advanced,Racing,2 years,Challenging
1687,Intermediate,FPS,2 years,Difficult
1688,Beginner,Racing,2 years,Challenging
1689,Beginner,FPS,2 years,Moderate
1690,Intermediate,Puzzle,4 years,Easy
1691,Beginner,RPG,6 months,Easy
1692,Beginner,Platformer,3 years,Easy
1693,Intermediate,FPS,2.5 years,Challenging
1694,Intermediate,Racing,5 years,Easy
1695,Intermediate,Platformer,2 years,Moderate
1696,Advanced,Adventure,3 years,Challenging
1697,Advanced,Adventure,4 years,Easy
1698,Beginner,Strategy,6 months,Moderate
1699,Advanced,Sports,1.5 years,Challenging
1700,Advanced,Sports,1 year,Moderate
1701,Intermediate,RPG,5 years,Difficult
1702,Intermediate,Racing,1 year,Moderate
1703,Advanced,Adventure,5 years,Easy
1704,Beginner,Racing,2 years,Easy
1705,Beginner,Adventure,2.5 years,Easy
1706,Beginner,Platformer,6 months,Difficult
1707,Advanced,Racing,1.5 years,Easy
1708,Intermediate,Adventure,2 years,Difficult
1709,Advanced,Platformer,5 years,Difficult
1710,Beginner,Puzzle,6 months,Difficult
1711,Intermediate,Puzzle,1.5 years,Difficult
1712,Advanced,Strategy,2 years,Challenging
1713,Intermediate,Platformer,5 years,Easy
1714,Intermediate,Racing,5 years,Difficult
1715,Intermediate,Adventure,1.5 years,Difficult
1716,Advanced,FPS,4 years,Difficult
1717,Beginner,RPG,1.5 years,Difficult
1718,Intermediate,FPS,3 years,Challenging
1719,Intermediate,Racing,2.5 years,Moderate
1720,Beginner,Puzzle,2.5 years,Difficult
1721,Intermediate,Simulation,3 years,Easy
1722,Advanced,Platformer,3 years,Easy
1723,Intermediate,RPG,6 months,Challenging
1724,Advanced,Adventure,1 year,Challenging
1725,Beginner,Racing,5 years,Difficult
1726,Intermediate,Platformer,5 years,Challenging
1727,Advanced,Simulation,1.5 years,Moderate
1728,Beginner,Racing,5 years,Challenging
1729,Advanced,Sports,3 years,Moderate
1730,Beginner,FPS,2.5 years,Easy
1731,Beginner,FPS,4 years,Challenging
1732,Intermediate,Puzzle,1 year,Difficult
1733,Advanced,Simulation,2.5 years,Challenging
1734,Beginner,Puzzle,5 years,Moderate
1735,Beginner,Sports,1.5 years,Challenging
1736,Beginner,Adventure,3 years,Challenging
1737,Advanced,Simulation,4 years,Challenging
1738,Intermediate,RPG,4 years,Challenging
1739,Advanced,Platformer,2.5 years,Easy
1740,Beginner,Puzzle,5 years,Easy
1741,Intermediate,FPS,1.5 years,Easy
1742,Beginner,FPS,2 years,Difficult
1743,Beginner,Racing,1 year,Easy
1744,Beginner,RPG,1.5 years,Moderate
1745,Advanced,Sports,3 years,Challenging
1746,Beginner,Platformer,6 months,Challenging
1747,Beginner,Puzzle,1.5 years,Easy
1748,Beginner,FPS,6 months,Easy
1749,Intermediate,Simulation,3 years,Difficult
1750,Intermediate,Simulation,5 years,Challenging
1751,Beginner,Racing,2.5 years,Challenging
1752,Beginner,Racing,1 year,Challenging
1753,Advanced,Adventure,1 year,Difficult
1754,Beginner,Adventure,5 years,Difficult
1755,Intermediate,Adventure,6 months,Challenging
1756,Advanced,Simulation,5 years,Challenging
1757,Beginner,Simulation,2.5 years,Easy
1758,Advanced,RPG,1 year,Easy
1759,Intermediate,Puzzle,6 months,Easy
1760,Beginner,Racing,2.5 years,Easy
1761,Intermediate,Platformer,2 years,Easy
1762,Beginner,Puzzle,5 years,Challenging
1763,Beginner,Simulation,2 years,Challenging
1764,Intermediate,RPG,1.5 years,Challenging
1765,Beginner,Adventure,4 years,Challenging
1766,Advanced,Adventure,2 years,Easy
1767,Intermediate,Adventure,2.5 years,Moderate
1768,Advanced,FPS,5 years,Difficult
1769,Beginner,Strategy,1.5 years,Easy
1770,Intermediate,RPG,2.5 years,Challenging
1771,Beginner,Racing,2.5 years,Moderate
1772,Beginner,FPS,6 months,Moderate
1773,Intermediate,Sports,5 years,Challenging
1774,Beginner,Puzzle,6 months,Easy
1775,Advanced,Adventure,2.5 years,Easy
1776,Intermediate,FPS,2 years,Challenging
1777,Advanced,FPS,1.5 years,Moderate
1778,Intermediate,Adventure,1.5 years,Moderate
1779,Advanced,Puzzle,2 years,Easy
1780,Beginner,Strategy,5 years,Challenging
1781,Advanced,Strategy,2.5 years,Moderate
1782,Beginner,FPS,4 years,Easy
1783,Advanced,Racing,2 years,Challenging
1784,Intermediate,Adventure,2.5 years,Easy
1785,Beginner,RPG,3 years,Challenging
1786,Intermediate,Strategy,2.5 years,Easy
1787,Beginner,FPS,4 years,Challenging
1788,Beginner,Simulation,4 years,Moderate
1789,Advanced,RPG,1.5 years,Challenging
1790,Intermediate,RPG,3 years,Challenging
1791,Beginner,Strategy,5 years,Easy
1792,Intermediate,Sports,6 months,Difficult
1793,Intermediate,Racing,6 months,Moderate
1794,Advanced,Adventure,1 year,Difficult
1795,Beginner,Adventure,2.5 years,Challenging
1796,Advanced,Racing,3 years,Difficult
1797,Advanced,Simulation,4 years,Difficult
1798,Beginner,Simulation,2 years,Moderate
1799,Intermediate,Simulation,5 years,Challenging
1800,Intermediate,FPS,6 months,Difficult
1801,Intermediate,RPG,2 years,Challenging
1802,Beginner,Sports,2 years,Difficult
1803,Beginner,Simulation,2 years,Easy
1804,Intermediate,Racing,6 months,Challenging
1805,Intermediate,Strategy,2 years,Difficult
1806,Intermediate,Adventure,2 years,Easy
1807,Intermediate,FPS,2.5 years,Challenging
1808,Intermediate,Simulation,1 year,Difficult
1809,Beginner,Sports,1.5 years,Moderate
1810,Advanced,Racing,4 years,Difficult
1811,Intermediate,RPG,4 years,Difficult
1812,Advanced,Adventure,5 years,Challenging
1813,Intermediate,Platformer,3 years,Easy
1814,Advanced,Platformer,6 months,Challenging
1815,Intermediate,Strategy,6 months,Challenging
1816,Intermediate,Racing,4 years,Moderate
1817,Intermediate,RPG,1.5 years,Challenging
1818,Advanced,Adventure,5 years,Difficult
1819,Beginner,Racing,3 years,Difficult
1820,Intermediate,Racing,2 years,Easy
1821,Beginner,FPS,6 months,Difficult
1822,Intermediate,FPS,2.5 years,Easy
1823,Intermediate,Sports,5 years,Easy
1824,Intermediate,Platformer,2.5 years,Easy
1825,Intermediate,RPG,1.5 years,Challenging
1826,Beginner,Adventure,2 years,Moderate
1827,Advanced,Puzzle,1.5 years,Easy
1828,Beginner,Puzzle,6 months,Difficult
1829,Advanced,Simulation,6 months,Moderate
1830,Advanced,RPG,1.5 years,Moderate
1831,Intermediate,Puzzle,2.5 years,Moderate
1832,Intermediate,Racing,1.5 years,Moderate
1833,Advanced,FPS,2 years,Difficult
1834,Beginner,Adventure,5 years,Moderate
1835,Beginner,Simulation,2.5 years,Challenging
1836,Intermediate,Simulation,1 year,Moderate
1837,Advanced,Strategy,1 year,Difficult
1838,Beginner,Puzzle,2.5 years,Easy
1839,Beginner,Puzzle,2.5 years,Easy
1840,Advanced,Strategy,2 years,Moderate
1841,Advanced,Strategy,1.5 years,Moderate
1842,Intermediate,FPS,1.5 years,Moderate
1843,Advanced,Racing,2 years,Challenging
1844,Advanced,Adventure,2.5 years,Moderate
1845,Advanced,Sports,6 months,Moderate
1846,Beginner,Simulation,6 months,Challenging
1847,Advanced,Racing,4 years,Moderate
1848,Intermediate,Puzzle,6 months,Difficult
1849,Advanced,Strategy,2.5 years,Challenging
1850,Beginner,Racing,5 years,Challenging
1851,Intermediate,Platformer,2.5 years,Moderate
1852,Advanced,Strategy,1 year,Challenging
1853,Beginner,Strategy,3 years,Challenging
1854,Beginner,Simulation,2.5 years,Challenging
1855,Intermediate,RPG,1 year,Moderate
1856,Intermediate,Sports,2 years,Challenging
1857,Advanced,Puzzle,3 years,Moderate
1858,Advanced,Adventure,6 months,Moderate
1859,Advanced,Strategy,2 years,Moderate
1860,Advanced,Platformer,6 months,Moderate
1861,Intermediate,Simulation,1 year,Challenging
1862,Beginner,Strategy,1.5 years,Challenging
1863,Beginner,Strategy,1 year,Difficult
1864,Intermediate,Platformer,2.5 years,Difficult
1865,Intermediate,FPS,1.5 years,Difficult
1866,Intermediate,Sports,3 years,Easy
1867,Advanced,RPG,4 years,Difficult
1868,Intermediate,FPS,3 years,Moderate
1869,Advanced,RPG,1.5 years,Easy
1870,Beginner,Puzzle,6 months,Challenging
1871,Advanced,Platformer,2 years,Moderate
1872,Beginner,Puzzle,5 years,Challenging
1873,Beginner,Adventure,1 year,Easy
1874,Intermediate,Racing,3 years,Difficult
1875,Beginner,Racing,1 year,Easy
1876,Beginner,RPG,3 years,Moderate
1877,Intermediate,Simulation,1 year,Moderate
1878,Beginner,Simulation,6 months,Difficult
1879,Advanced,Sports,2 years,Difficult
1880,Intermediate,Simulation,6 months,Moderate
1881,Beginner,Sports,6 months,Easy
1882,Intermediate,Racing,3 years,Difficult
1883,Beginner,Adventure,4 years,Moderate
1884,Advanced,FPS,6 months,Difficult
1885,Intermediate,Racing,5 years,Challenging
1886,Beginner,Adventure,4 years,Easy
1887,Advanced,Sports,2.5 years,Moderate
1888,Intermediate,RPG,2.5 years,Moderate
1889,Intermediate,Racing,6 months,Difficult
1890,Intermediate,Puzzle,1.5 years,Easy
1891,Beginner,Sports,2 years,Difficult
1892,Beginner,RPG,2 years,Difficult
1893,Beginner,Platformer,3 years,Easy
1894,Advanced,FPS,2 years,Difficult
1895,Beginner,FPS,5 years,Moderate
1896,Advanced,RPG,1.5 years,Difficult
1897,Beginner,RPG,1.5 years,Moderate
1898,Advanced,Adventure,1.5 years,Challenging
1899,Advanced,Sports,4 years,Challenging
1900,Beginner,Sports,1.5 years,Difficult
1901,Beginner,Puzzle,4 years,Easy
1902,Beginner,Adventure,6 months,Difficult
1903,Intermediate,Platformer,3 years,Easy
1904,Beginner,Simulation,5 years,Challenging
1905,Intermediate,Adventure,5 years,Challenging
1906,Intermediate,Puzzle,5 years,Moderate
1907,Beginner,Sports,4 years,Moderate
1908,Advanced,Racing,5 years,Moderate
1909,Advanced,Puzzle,3 years,Difficult
1910,Advanced,Simulation,6 months,Difficult
1911,Advanced,FPS,2.5 years,Difficult
1912,Beginner,RPG,1.5 years,Easy
1913,Intermediate,Simulation,4 years,Difficult
1914,Intermediate,Adventure,2.5 years,Easy
1915,Advanced,Simulation,5 years,Challenging
1916,Beginner,FPS,3 years,Moderate
1917,Advanced,RPG,2.5 years,Challenging
1918,Intermediate,Adventure,2 years,Easy
1919,Advanced,Racing,1 year,Moderate
1920,Intermediate,Adventure,4 years,Easy
1921,Beginner,Simulation,1.5 years,Challenging
1922,Intermediate,Platformer,1 year,Difficult
1923,Intermediate,Strategy,6 months,Moderate
1924,Intermediate,RPG,5 years,Challenging
1925,Intermediate,Sports,5 years,Difficult
1926,Intermediate,Simulation,3 years,Difficult
1927,Beginner,Simulation,6 months,Easy
1928,Intermediate,Puzzle,1.5 years,Challenging
1929,Intermediate,Puzzle,6 months,Challenging
1930,Intermediate,Simulation,1.5 years,Challenging
1931,Advanced,FPS,2 years,Easy
1932,Intermediate,Sports,3 years,Difficult
1933,Advanced,Strategy,2 years,Difficult
1934,Beginner,Sports,4 years,Challenging
1935,Advanced,Adventure,2 years,Challenging
1936,Advanced,FPS,2 years,Difficult
1937,Beginner,Simulation,5 years,Easy
1938,Intermediate,Strategy,5 years,Easy
1939,Advanced,Adventure,5 years,Moderate
1940,Advanced,Strategy,6 months,Challenging
1941,Beginner,Simulation,4 years,Moderate
1942,Beginner,FPS,2.5 years,Moderate
